model_no,Var1,model_id
15,z_DOM_log,model1var_015
16,z_Nitrate_log,model1var_016
17,z_Salinity,model1var_017
190,zlog_closest_OSDS_m,model1var_190
191,zlog_closest_cesspool_m,model1var_191
192,zlog_n_osds_site100m,model1var_192
193,zlog_n_cesspools_site100m,model1var_193
194,zlog_n_osds_site500m,model1var_194
195,zlog_n_cesspools_site500m,model1var_195
196,zlog_ESATreeCover_site100m,model1var_196
197,zlog_ESAGrassland_site100m,model1var_197
198,zlog_ESABare_site100m,model1var_198
199,zlog_ESABuiltup_site100m,model1var_199
200,zlog_ESAWetland_site100m,model1var_200
201,zlog_ESATreeCover_site500m,model1var_201
202,zlog_ESAGrassland_site500m,model1var_202
203,zlog_ESABare_site500m,model1var_203
204,zlog_ESABuiltup_site500m,model1var_204
205,zlog_ESAWetland_site500m,model1var_205
206,zlog_percent_impervious_site100m,model1var_206
207,zlog_percent_impervious_site500m,model1var_207
208,zlog_NLCDBarren_site100m,model1var_208
209,zlog_NLCDForest_site100m,model1var_209
210,zlog_NLCDShrub_site100m,model1var_210
211,zlog_NLCDDeveloped_site100m,model1var_211
212,zlog_NLCDHerbaceuous_site100m,model1var_212
213,zlog_NLCDBarren_site500m,model1var_213
214,zlog_NLCDForest_site500m,model1var_214
215,zlog_NLCDShrub_site500m,model1var_215
216,zlog_NLCDDeveloped_site500m,model1var_216
217,zlog_NLCDHerbaceuous_site500m,model1var_217
218,zlog_n_osds_DARshed,model1var_218
219,zlog_n_cesspools_DARshed,model1var_219
220,zlog_n_osds_DARshed100m,model1var_220
221,zlog_n_cesspools_DARshed100m,model1var_221
222,zlog_n_osds_DARshed500m,model1var_222
223,zlog_n_cesspools_DARshed500m,model1var_223
224,zlog_n_osds_DARshed1km,model1var_224
225,zlog_n_cesspools_DARshed1km,model1var_225
226,zlog_n_osds_DARshed2km,model1var_226
227,zlog_n_cesspools_DARshed2km,model1var_227
228,zlog_ESATreeCover_DARshed,model1var_228
